external_id,player_id,name,firstname,lastname,full_name,nationality,teams,team_countries,leagues,current_name_ko,current_short_name_ko,method,matched_name,name_ko,short_name_ko,current_quality_bad
169,45,K. Trippier,Kieran John,Trippier,Kieran John Trippier,England,England; Newcastle,England,FA Cup; League Cup; Premier League; UEFA Champions League; World Cup,키어런 트리피어,트리피어,verified-seed-csv,player_translation_epl_2025.csv,키어런 트리피어,트리피어,False
170,15095,J. Vertonghen,Jan,Vertonghen,Jan Vertonghen,Belgium,Belgium,Belgium,World Cup,얀 베르통헨,베르통헨,verified-seed-csv,player_translation_world_cup_2022.csv,얀 베르통헨,베르통헨,False
171,410,K. Walker-Peters,Kyle Leonardus,Walker-Peters,Kyle Leonardus Walker-Peters,England,West Ham,England,FA Cup; League Cup; Premier League,카일 워커피터스,워커피터스,verified-seed-csv,player_translation_epl_2025.csv,카일 워커피터스,워커피터스,False
173,4498,L. Amos,Luke Ayodele,Amos,Luke Ayodele Amos,England,,,,,,wikidata-ko-label,Luke Ayodele Amos,루크 아모스,아모스,False
174,15971,C. Eriksen,Christian,Dannemann Eriksen,Christian Dannemann Eriksen,Denmark,Denmark,Denmark,World Cup,크리스티안 에릭센,에릭센,verified-seed-csv,player_translation_world_cup_2022.csv,크리스티안 에릭센,에릭센,False
175,1281,E. Dier,Eric Jeremy Edgar,Dier,Eric Jeremy Edgar Dier,England,England; Monaco,England; France,UEFA Champions League; World Cup,에릭 다이어,다이어,wikidata-ko-label,Eric Dier,에릭 다이어,다이어,False
178,17327,Lucas Moura,Lucas,Rodrigues Moura da Silva,Lucas Rodrigues Moura da Silva,Brazil,,,,루카스 모우라,모우라,verified-seed-csv,player_translation_world_cup_2026.current_team.csv,루카스 모우라,모우라,False
179,3311,M. Sissoko,Moussa,Sissoko,Moussa Sissoko,France,Watford,England,FA Cup; League Cup,무사 시소코,시소코,verified-seed-csv,player_translation_league_cup_2025_remaining.csv,무사 시소코,시소코,False
180,7636,O. Skipp,Oliver William,Skipp,Oliver William Skipp,England,Leicester,England,FA Cup; League Cup,올리버 스킵,스킵,verified-seed-csv,player_translation_league_cup_2025_remaining.csv,올리버 스킵,스킵,False
182,7637,H. Winks,Harry Billy,Winks,Harry Billy Winks,England,Leicester,England,FA Cup; League Cup,해리 윙크스,윙크스,verified-seed-csv,player_translation_league_cup_2025_remaining.csv,해리 윙크스,윙크스,False
183,16718,V. Janssen,Vincent,Janssen,Vincent Janssen,Netherlands,Netherlands,Netherlands,World Cup,빈센트 얀선,얀선,verified-seed-csv,player_translation_world_cup_2022.csv,빈센트 얀선,얀선,False
184,1325,H. Kane,Harry Edward,Kane,Harry Edward Kane,England,Bayern München; England,England; Germany,UEFA Champions League; World Cup,해리 케인,케인,verified-seed-csv,player_translation_ucl_2025_priority.csv,해리 케인,케인,False
186,373,Son Heung-Min,Heung-Min,Son,Heung-Min Son,Korea Republic,South Korea,South-Korea,World Cup,손흥민,손흥민,verified-seed-csv,player_translation_world_cup_2026.current_team.csv,손흥민,손흥민,False
190,16379,Cédric Soares,Cédric Ricardo,Alves Soares,Cédric Ricardo Alves Soares,Portugal,,,,,,wikidata-ko-label,Cédric Soares,세드릭 소아레스,소아레스,False
194,2287,S. de Vrij,Stefan,de Vrij,Stefan de Vrij,Netherlands,Inter; Netherlands,Italy; Netherlands,UEFA Champions League; World Cup,스테판 더 프레이,프레이,verified-seed-csv,player_translation_ucl_2025_remaining.csv,스테판 더 프레이,프레이,False
195,15227,Miranda,João,Miranda de Souza Filho,João Miranda de Souza Filho,Brazil,,,,,,wikidata-ko-label,João Miranda de Souza Filho,미란다,미란다,False
198,3239,M. Škriniar,Milan,Škriniar,Milan Škriniar,Slovakia,Fenerbahçe,Turkey,UEFA Champions League; UEFA Europa League,밀란 슈크리니아르,슈크리니아르,verified-seed-csv,player_translation_ucl_2025_remaining.csv,밀란 슈크리니아르,슈크리니아르,False
199,15152,Šime Vrsaljko,Šime,Vrsaljko,Šime Vrsaljko,Croatia,,,,,,wikidata-ko-label,Šime Vrsaljko,시메 브르살코,브르살코,False
201,15153,M. Brozović,Marcelo,Brozović,Marcelo Brozović,Croatia,Croatia,Croatia,World Cup,마르첼로 브로조비치,브로조비치,verified-seed-csv,player_translation_world_cup_2022.csv,마르첼로 브로조비치,브로조비치,False
206,5173,João Mário,João Mário,Naval da Costa Eduardo,João Mário Naval da Costa Eduardo,Portugal,Beşiktaş; Portugal,Portugal; Turkey,UEFA Europa League; World Cup,주앙 마리우,마리우,verified-seed-csv,player_translation_uel_2025_remaining.csv,주앙 마리우,마리우,False
207,1589,I. Perišić,Ivan,Perišić,Ivan Perišić,Croatia,Croatia; PSV Eindhoven,Croatia; Netherlands,UEFA Champions League; World Cup,이반 페리시치,페리시치,verified-seed-csv,player_translation_ucl_2025_remaining.csv,이반 페리시치,페리시치,False
211,5097,M. Vecino,Matías,Vecino Falero,Matías Vecino Falero,Uruguay,Celta Vigo; Uruguay,Spain; Uruguay,UEFA Europa League; World Cup,마티아스 베치노 파레로,베치노,verified-seed-csv,player_translation_uel_2025_remaining.csv,마티아스 베치노 파레로,베치노,False
213,15604,K. Baldé,Keita,Baldé Diao,Keita Baldé Diao,Senegal,Senegal,Senegal,World Cup,케이타 발데 디아오,디아오,verified-seed-csv,player_translation_world_cup_2022.csv,케이타 발데 디아오,디아오,False
215,2288,S. Esposito,Sebastiano,Esposito,Sebastiano Esposito,Italy,,,,세바스티아노 에스포지토,에스포지토,current-clean-ko,player_translation,세바스티아노 에스포지토,에스포지토,False
216,3388,M. Icardi,Mauro Emanuel,Icardi Rivero,Mauro Emanuel Icardi Rivero,Argentina,Galatasaray,Turkey,UEFA Champions League,마우로 이카르디,이카르디,wikidata-ko-label,Mauro Icardi,마우로 이카르디,이카르디,False
217,2289,Lautaro Martínez,Lautaro Javier,Martínez,Lautaro Javier Martínez,Argentina,Argentina; Inter,Argentina; Italy,UEFA Champions League; World Cup,엘 마르티네스,마르티네스,wikidata-ko-label,Lautaro Javier Martínez,라우타로 마르티네스,마르티네스,False
219,2164,M. Politano,Matteo,Politano,Matteo Politano,Italy,Napoli,Italy,UEFA Champions League,마테오 폴리타노,폴리타노,verified-seed-csv,player_translation_ucl_2025_remaining.csv,마테오 폴리타노,폴리타노,False
221,19111,E. Room,Eloy Victor,Room,Eloy Victor Room,Curaçao,,,,엘로이 롬,롬,verified-seed-csv,player_translation_world_cup_2026.current_team.csv,엘로이 롬,롬,False
225,15898,A. Behich,Aziz,Eraltay Behich,Aziz Eraltay Behich,Australia,Australia,Australia,World Cup,아지즈 베히치,베히치,verified-seed-csv,player_translation_world_cup_2026.current_team.csv,아지즈 베히치,베히치,False
226,2290,D. Dumfries,Denzel Justus Morris,Dumfries,Denzel Justus Morris Dumfries,Netherlands,Inter; Netherlands,Italy; Netherlands,UEFA Champions League; World Cup,D. 덤프리스,덤프리스,manual-common-name,Denzel Dumfries,덴절 둠프리스,둠프리스,True
227,5000,Angeliño,José Ángel,Esmoris Tasende,José Ángel Esmoris Tasende,Spain,AS Roma,Italy,UEFA Europa League,앙헬리뇨,앙헬리뇨,verified-seed-csv,player_translation_uel_2025_remaining.csv,앙헬리뇨,앙헬리뇨,False
228,1590,A. Obispo,Armando,Obispo,Armando Obispo,Netherlands,PSV Eindhoven,Netherlands,UEFA Champions League,아르만도 오비스포,오비스포,verified-seed-csv,player_translation_ucl_2025_remaining.csv,아르만도 오비스포,오비스포,False
229,15899,T. Sainsbury,Trent,Lucas Sainsbury,Trent Lucas Sainsbury,Australia,,,,,,wikidata-ko-label,Trent Lucas Sainsbury,트렌트 세인스버리,세인스버리,False
231,1261,J. Teze,Jordan,Teze,Jordan Teze,Netherlands,Monaco,France,UEFA Champions League,조던 테제,테제,verified-seed-csv,player_translation_ucl_2025_priority.csv,조던 테제,테제,False
232,4283,N. Viergever,Nick,Viergever,Nick Viergever,Netherlands,Utrecht,Netherlands,UEFA Europa League,닉 비에르허,닉,verified-seed-csv,player_translation_uel_2025_remaining.csv,닉 비에르허,닉,False
233,1591,Mauro Júnior,Mauro Jaqueson Júnior,Ferreira dos Santos,Mauro Jaqueson Júnior Ferreira dos Santos,Brazil,PSV Eindhoven,Netherlands,UEFA Champions League,마우로 주니어,주니어,verified-seed-csv,player_translation_ucl_2025_remaining.csv,마우로 주니어,주니어,False
234,15722,É. Gutiérrez,Érick Gabriel,Gutiérrez Galaviz,Érick Gabriel Gutiérrez Galaviz,Mexico,Mexico,Mexico,World Cup,에리크 구티에레스,구티에레스,verified-seed-csv,player_translation_world_cup_2022.csv,에리크 구티에레스,구티에레스,False
237,15280,G. Pereiro,Gastón Rodrigo,Pereiro López,Gastón Rodrigo Pereiro López,Uruguay,,,,,,nationality-phonetic:Uruguay:spanish,Gastón Rodrigo Pereiro López,가스토느 로드리고 페라이로 로페스,페라이로,False
240,1203,P. Rosario,Pablo Paulino,Rosario,Pablo Paulino Rosario,Netherlands,FC Porto; Nice,France; Portugal,UEFA Champions League; UEFA Europa League,파블로 파울리노 로사리오,로사리오,verified-seed-csv,player_translation_ucl_2025_remaining.csv,파블로 파울리노 로사리오,로사리오,False
241,2705,M. Sadílek,Michal,Sadílek,Michal Sadílek,Czechia,Slavia Praha,Czech-Republic,UEFA Champions League,미할 사딜레크,사딜레크,verified-seed-csv,player_translation_ucl_2025_remaining.csv,미할 사딜레크,사딜레크,False
243,16604,Z. Aboukhlal,Zakaria,Aboukhlal,Zakaria Aboukhlal,Morocco,Morocco,Morocco,World Cup,자카리아 아부클랄,아부클랄,verified-seed-csv,player_translation_world_cup_2022.csv,자카리아 아부클랄,아부클랄,False
244,16719,S. Bergwijn,Steven Charles,Bergwijn,Steven Charles Bergwijn,Netherlands,Netherlands,Netherlands,World Cup,스테번 베르흐베인,베르흐베인,verified-seed-csv,player_translation_world_cup_2022.csv,스테번 베르흐베인,베르흐베인,False
246,4381,L. de Jong,Luuk,de Jong,Luuk de Jong,Netherlands,FC Porto; Netherlands,Netherlands; Portugal,UEFA Europa League; World Cup,뤽 더 용,용,verified-seed-csv,player_translation_uel_2025_remaining.csv,뤽 더 용,용,False
