external_id,eng_name,team,name_ko,short_name_ko,source
138816,I. Maatsen,Aston Villa,이안 마트센,마트센,curated
19191,J. McGinn,Aston Villa,존 맥긴,맥긴,curated
18,J. Sancho,Aston Villa,제이든 산초,산초,curated
983,L. Bailey,Aston Villa,레온 베일리,베일리,curated
284457,L. Bogarde,Aston Villa,루케이스 보가르데,보가르데,previous_csv
2724,L. Digne,Aston Villa,뤼카 디뉴,디뉴,curated
36878,M. Bizot,Aston Villa,마르코 비조트,비조트,previous_csv
19298,M. Cash,Aston Villa,매티 캐시,캐시,curated
19170,M. Rogers,Aston Villa,모건 로저스,로저스,curated
19366,O. Watkins,Aston Villa,올리 왓킨스,왓킨스,curated
46815,Pau Torres,Aston Villa,파우 토레스,토레스,curated
2287,R. Barkley,Aston Villa,로스 바클리,바클리,curated
19194,T. Abraham,Aston Villa,태미 에이브러햄,에이브러햄,curated
19179,T. Mings,Aston Villa,타이론 밍스,밍스,curated
889,V. Lindelof,Aston Villa,빅토르 린델뢰프,린델뢰프,curated
2926,Y. Tielemans,Aston Villa,유리 틸레만스,틸레만스,curated
129682,A. Adli,Bournemouth,아민 아들리,아들리,curated
304853,A. Scott,Bournemouth,알렉스 스콧,스콧,curated
18869,A. Smith,Bournemouth,애덤 스미스,스미스,curated
361485,A. Toth,Bournemouth,안드라스 토트,토트,previous_csv
162267,A. Truffert,Bournemouth,아드리앵 트뤼페르,트뤼페르,curated
330437,Alex Jimenez,Bournemouth,알렉스 히메네스,히메네스,curated
22136,B. Diakite,Bournemouth,바포데 디아키테,디아키테,curated
402432,Ben Winterburn,Bournemouth,벤 윈터번,윈터번,curated
18870,D. Brooks,Bournemouth,데이비드 브룩스,브룩스,curated
118307,Dj. Petrovic,Bournemouth,조르제 페트로비치,페트로비치,curated
368030,E. Kroupi,Bournemouth,엘리 주니어 크루피,크루피,curated
47499,E. Unal,Bournemouth,에네스 위날,위날,curated
152856,Evanilson,Bournemouth,에바니우송,에바니우송,curated
18932,F. Forster,Bournemouth,프레이저 포스터,포스터,curated
31057,H. Traore,Bournemouth,하메드 트라오레,트라오레,curated
161671,I. Zabarnyi,Bournemouth,일리야 자바르니,자바르니,curated
51051,J. Araujo,Bournemouth,훌리안 아라우호,아라우호,curated
792,J. Kluivert,Bournemouth,저스틴 클라위버르트,클라위버르트,curated
363333,J. Soler,Bournemouth,J. 솔레르,솔레르,previous_csv
18872,L. Cook,Bournemouth,루이스 쿡,쿡,curated
6610,M. Senesi,Bournemouth,마르코스 세네시,세네시,curated
19245,M. Tavernier,Bournemouth,마커스 태버니어,태버니어,curated
2734,P. Billing,Bournemouth,필립 빌링,빌링,curated
1125,R. Christie,Bournemouth,라이언 크리스티,크리스티,curated
84082,R. Faivre,Bournemouth,로맹 페브르,페브르,curated
1150,T. Adams,Bournemouth,타일러 애덤스,애덤스,curated
319517,A. Milambo,Brentford,알프론스 미람보,미람보,previous_csv
281,C. Kelleher,Brentford,퀴빈 켈러허,켈러허,curated
284797,D. Ouattara,Brentford,드라마니 와타라,와타라,previous_csv
15799,F. Onyeka,Brentford,프란치스코 오니에카,오니에카,previous_csv
427736,Gustavo Gomes,Brentford,구스타보 누네스,누네스,previous_csv
292,J. Henderson,Brentford,조던 헨더슨,헨더슨,curated
178077,K. Schade,Brentford,케빈 샤데,샤데,curated
393193,Kaye Iyowuna Furo,Brentford,케이 푸로,푸로,curated
342022,M. Kayode,Brentford,마이클 카요데,카요데,curated
19495,N. Collins,Brentford,네이선 콜린스,콜린스,curated
196156,Thiago,Brentford,이고르 티아구,티아구,curated
328225,B. Gruda,Brighton,브라얀 그루다,그루다,curated
129058,B. Verbruggen,Brighton,바르트 페르브뤼헌,페르브뤼헌,curated
356041,C. Baleba,Brighton,C. 발레바,발레바,previous_csv
392482,C. Kostoulas,Brighton,코스툴라스,코스툴라스,previous_csv
278370,D. Gomez,Brighton,D. 고메스,고메스,previous_csv
1469,D. Welbeck,Brighton,D. 웰벡,웰벡,previous_csv
1361,F. Kadıoglu,Brighton,페르디 카디올루,카디올루,curated
7600,Igor,Brighton,이고르,이고르,previous_csv
305730,J. Hinshelwood,Brighton,J. 힌셀우드,힌셀우드,previous_csv
296,J. Milner,Brighton,제임스 밀너,밀너,previous_csv
18960,J. Steele,Brighton,제이슨 스틸,스틸,curated
38695,J. van Hecke,Brighton,얀 폴 판헤케,판헤케,curated
537,J. Veltman,Brighton,제프리 펠트만,펠트만,previous_csv
18963,L. Dunk,Brighton,루이스 덩크,덩크,curated
162007,M. De Cuyper,Brighton,막심 더카이퍼,더카이퍼,curated
19030,M. O'Riley,Brighton,맷 오라일리,오라일리,previous_csv
92993,M. Wieffer,Brighton,마츠 비퍼,비퍼,curated
22160,O. Boscagli,Brighton,올리비에 보스칼리,보스칼리,previous_csv
18970,P. Groß,Brighton,파스칼 그로스,그로스,previous_csv
343311,S. Tzimas,Brighton,슈제츠니,슈제츠니,previous_csv
138815,T. Lamptey,Brighton,타리크 램프티,램프티,curated
329369,T. Watson,Brighton,토마스 왓슨,왓슨,previous_csv
265820,Y. Ayari,Brighton,와세드 아야리,아야리,previous_csv
383685,Y. Minteh,Brighton,와이 민테,민테,previous_csv
138822,A. Broja,Burnley,아르만도 브로하,브로하,previous_csv
19182,A. Tuanzebe,Burnley,악셀 투안제베,투안제베,previous_csv
181797,B. Humphreys,Burnley,바시르 험프리스,험프리스,previous_csv
575,Florentino,Burnley,플로렌티노,플로렌티노,previous_csv
47903,H. Ekdal,Burnley,야르마르 에크달,에크달,previous_csv
180560,H. Mejbri,Burnley,한니발 메즈브리,메즈브리,previous_csv
196855,J. Anthony,Burnley,제이던 앤서니,앤서니,previous_csv
22,J. Bruun Larsen,Burnley,야콥 브룬 라르센,브룬 라르센,curated
627,K. Walker,Burnley,카일 워커,워커,curated
161621,L. Tchaouna,Burnley,르미 트샤우나,트샤우나,previous_csv
270508,L. Ugochukwu,Burnley,치무안야 우고추쿠위,우고추쿠위,previous_csv
330238,Lucas Pires,Burnley,루카스 피레스,피레스,previous_csv
18886,M. Dubravka,Burnley,마르틴 두브라프카,두브라프카,curated
179400,M. Esteve,Burnley,막심 에스테브,에스테브,curated
375915,Q. Hartman,Burnley,퀼린치 하트만,하트만,previous_csv
123469,Z. Amdouni,Burnley,제키 암두니,암두니,previous_csv
422780,A. Anselmino,Chelsea,아론 안셀미노,안셀미노,curated
284324,A. Garnacho,Chelsea,알레한드로 가르나초,가르나초,previous_csv
305834,Andrey Santos,Chelsea,안드레이 산토스,산토스,previous_csv
152982,C. Palmer,Chelsea,C. 파머,파머,previous_csv
308678,Dario Essugo,Chelsea,D. 에수고,에수고,previous_csv
5996,E. Fernandez,Chelsea,엔소 페르난데스,페르난데스,curated
425733,Estevao,Chelsea,에스테방,에스테방,previous_csv
286616,F. Jorgensen,Chelsea,필립 요르겐센,요르겐센,previous_csv
64167,G. Słonina,Chelsea,그레이슨 슬로니나,슬로니나,previous_csv
286894,J. Bynoe-Gittens,Chelsea,제이미 기튼스,기튼스,previous_csv
341642,J. Hato,Chelsea,요렐 하토,하토,curated
10329,Joao Pedro,Chelsea,조아우 페드로,페드로,previous_csv
152953,L. Colwill,Chelsea,리바이 콜윌,콜윌,curated
161948,L. Delap,Chelsea,리암 델랍,델랍,curated
116117,M. Caicedo,Chelsea,모이세스 카이세도,카이세도,curated
161907,M. Gusto,Chelsea,말로 구스토,구스토,previous_csv
276184,M. Sarr,Chelsea,마마두 사르,사르,curated
47380,Marc Cucurella,Chelsea,마르크 쿠쿠렐라,쿠쿠렐라,previous_csv
283058,N. Jackson,Chelsea,노이어 잭슨,잭슨,previous_csv
136723,N. Madueke,Chelsea,노니 마두에케,마두에케,previous_csv
1864,Pedro Neto,Chelsea,페드로 네토,네토,previous_csv
18959,Robert Sanchez,Chelsea,로베르트 산체스,산체스,curated
19145,T. Adarabioyo,Chelsea,T. 아다라비오요,아다라비오요,previous_csv
19720,T. Chalobah,Chelsea,트레보 찰로바,찰로바,curated
334037,Tyrique George,Chelsea,타이릭 조지,조지,curated
22094,W. Fofana,Chelsea,웨슬리 포파나,포파나,previous_csv
288102,A. Wharton,Crystal Palace,애덤 워튼,워튼,curated
129711,B. Johnson,Crystal Palace,브랜든 존슨,존슨,previous_csv
26303,B. Sosa,Crystal Palace,베르너 소사,소사,previous_csv
278898,C. Riad,Crystal Palace,씨 리아드,리아드,previous_csv
126949,C. Richards,Crystal Palace,크리스 리처즈,리처즈,curated
19088,D. Henderson,Crystal Palace,딘 헨더슨,헨더슨,curated
2601,D. Kamada,Crystal Palace,D. 카마다,카마다,previous_csv
13736,D. Munoz,Crystal Palace,D. 무뇨스,무뇨스,previous_csv
19586,E. Eze,Crystal Palace,에브라힘 에제,에제,previous_csv
2218,I. Sarr,Crystal Palace,이브라힘 사르,사르,previous_csv
412759,J. Canvot,Crystal Palace,주드 캔보트,캔보트,previous_csv
2490,J. Lerma,Crystal Palace,J. 레르마,레르마,previous_csv
25927,J. Mateta,Crystal Palace,장필리프 마테타,마테타,curated
67971,M. Guehi,Crystal Palace,마르크 게이히,게이히,previous_csv
20995,M. Lacroix,Crystal Palace,막상스 라크루아,라크루아,curated
18862,N. Clyne,Crystal Palace,나다니엘 클라인,클라인,curated
1135,O. Edouard,Crystal Palace,에두아르,에두아르,previous_csv
402640,R. Esse,Crystal Palace,라이언 에세,에세,previous_csv
182201,T. Mitchell,Crystal Palace,타이릭 미첼,미첼,curated
22157,W. Benitez,Crystal Palace,우지에히 슈제츠니,슈제츠니,previous_csv
18806,W. Hughes,Crystal Palace,W. 휴즈,휴즈,previous_csv
184226,Yeremy Pino,Crystal Palace,예레미 피노,피노,previous_csv
431921,Adam Aznou Ben Cheikh,Everton,아담 아즈누,아즈누,curated
125743,Beto,Everton,베토,베토,previous_csv
18592,I. Ndiaye,Everton,일리만 은디아예,은디아예,curated
17661,J. Branthwaite,Everton,J. 브란스웨이트,브란스웨이트,previous_csv
895,J. Garner,Everton,제임스 가너,가너,curated
270139,J. O'Brien,Everton,제이크 오브라이언,오브라이언,curated
2932,J. Pickford,Everton,조던 픽포드,픽포드,curated
2936,J. Tarkowski,Everton,제임스 타코우스키,타코우스키,curated
148099,K. Dewsbury-Hall,Everton,키어넌 듀스버리홀,듀스버리홀,curated
202854,M. Rohl,Everton,마티아스 를,를,previous_csv
138417,N. Patterson,Everton,네이선 패터슨,패터슨,curated
343684,T. Barry,Everton,톰 배리,배리,previous_csv
304317,T. Dibling,Everton,톰 디블링,디블링,previous_csv
284500,T. Iroegbunam,Everton,T. 이로에그부남,이로에그부남,previous_csv
82855,T. King,Everton,톰 킹,킹,curated
2165,V. Mykolenko,Everton,비탈리 미콜렌코,미콜렌코,curated
19549,A. Robinson,Fulham,앤토니 로빈슨,로빈슨,curated
899,Andreas Pereira,Fulham,안드레아스 페레이라,페레이라,previous_csv
1438,B. Leno,Fulham,베른트 레노,레노,curated
152967,C. Bassey,Fulham,칼빈 바시,바시,previous_csv
1161,E. Smith Rowe,Fulham,에밀 스미스 로우,스미스 로우,previous_csv
19480,H. Reed,Fulham,해리슨 리드,리드,previous_csv
19221,H. Wilson,Fulham,해리 윌슨,윌슨,curated
2729,J. Andersen,Fulham,요아킴 안데르센,안데르센,curated
436443,J. Kusi-Asare,Fulham,요나 쿠시-아사레,쿠시-아사레,curated
131,Jorge Cuenca,Fulham,호르헤 쿠엔카,쿠엔카,previous_csv
389315,Joshua King,Fulham,조슈아 킹,킹,curated
657,K. Tete,Fulham,케네디 테테,테테,previous_csv
237819,Kevin,Fulham,해리 케인,케인,previous_csv
2887,R. Jimenez,Fulham,알레하드로 히메네스,히메네스,previous_csv
19032,R. Sessegnon,Fulham,R. 세세뇽,세세뇽,previous_csv
195106,Rodrigo Muniz,Fulham,로드리고 무니즈,무니즈,previous_csv
1934,S. Berge,Fulham,산데르 베르게,베르게,curated
1696,S. Chukwueze,Fulham,사무엘 추쿠웨제,추쿠웨제,previous_csv
19025,T. Cairney,Fulham,톰 케어니,케어니,curated
2920,T. Castagne,Fulham,티모시 카스타뉴,카스타뉴,previous_csv
177665,A. Stach,Leeds,안톤 스타흐,스타흐,previous_csv
18766,D. Calvert-Lewin,Leeds,도미닉 칼버트르윈,칼버트르윈,curated
2279,E. Ampadu,Leeds,에단 암파두,암파두,curated
311334,F. Buonanotte,Leeds,파쿤도 부오낫테,부오낫테,previous_csv
47969,G. Gudmundsson,Leeds,가브리엘 구드문드손,구드문드손,curated
833,J. Bijol,Leeds,야카 비욜,비욜,previous_csv
19201,J. Bogle,Leeds,제이든 보글,보글,curated
19128,J. Harrison,Leeds,잭 해리슨,해리슨,curated
19760,J. Justin,Leeds,제임스 저스틴,저스틴,previous_csv
19321,J. Rodon,Leeds,조 로든,로든,curated
19461,L. Nmecha,Leeds,루카스 은메차,은메차,curated
80296,Lucas Perri,Leeds,루카스 페리,페리,previous_csv
48389,N. Okafor,Leeds,노니 마두에케,마두에케,previous_csv
64003,P. Struijk,Leeds,파스칼 스트라위크,스트라위크,curated
1408,S. Bornauw,Leeds,에스테반 보르나우,보르나우,previous_csv
18901,S. Longstaff,Leeds,샨 롱스태프,롱스태프,previous_csv
162128,W. Gnonto,Leeds,윌프리드 뇬토,뇬토,previous_csv
2864,A. Isak,Liverpool,알렉산더 이삭,이삭,previous_csv
6716,A. Mac Allister,Liverpool,알렉시스 맥알리스터,맥알리스터,previous_csv
289,A. Robertson,Liverpool,앤디 로버트슨,로버트슨,curated
280,Alisson Becker,Liverpool,알리송 베케르,알리송,previous_csv
343576,B. Doak,Liverpool,브랜든 도악,도악,previous_csv
180317,C. Bradley,Liverpool,C. 브래들리,브래들리,previous_csv
247,C. Gakpo,Liverpool,코디 각포,각포,curated
293,C. Jones,Liverpool,C. 존스,존스,previous_csv
1096,D. Szoboszlai,Liverpool,도미니크 소보슬러이,소보슬러이,curated
30410,F. Chiesa,Liverpool,F. 키에사,키에사,previous_csv
203224,F. Wirtz,Liverpool,플로리안 비르츠,비르츠,previous_csv
18889,F. Woodman,Liverpool,프레디 우드먼,우드먼,previous_csv
409047,G. Leoni,Liverpool,지안루이지 돈나룸마,돈나룸마,previous_csv
24760,G. Mamardashvili,Liverpool,지오르기 마마르다시빌리,마마르다시빌리,previous_csv
174565,H. Ekitike,Liverpool,우고 에키티케,에키티케,previous_csv
1145,I. Konate,Liverpool,이브라히마 코나테,코나테,curated
314661,J. Danns,Liverpool,제이든 댄스,댄스,curated
152654,J. Frimpong,Liverpool,제레미 프림퐁,프림퐁,previous_csv
284,J. Gomez,Liverpool,후안 고메즈,고메즈,previous_csv
287109,J. McConnell,Liverpool,제임스 맥커넬,맥커넬,previous_csv
206254,M. Kerkez,Liverpool,밀로시스 케르케즈,케르케즈,previous_csv
306,Mohamed Salah,Liverpool,모하메드 살라,살라,previous_csv
542,R. Gravenberch,Liverpool,라이언 흐라벤베르흐,흐라벤베르흐,curated
452685,R. Ngumoha,Liverpool,리오 은구모하,은구모하,previous_csv
162904,R. Williams,Liverpool,라이스 윌리엄스,윌리엄스,previous_csv
397997,T. Nyoni,Liverpool,티나이 뇨니,뇨니,previous_csv
162687,V. Jaros,Liverpool,비테즈슬라프 야로시,야로시,previous_csv
290,V. van Dijk,Liverpool,버질 반 다이크,반 다이크,curated
360114,A. Khusanov,Manchester City,아브두코디르 후사노프,후사노프,previous_csv
19281,A. Semenyo,Manchester City,앙투안 세메뇨,세메뇨,previous_csv
636,Bernardo Silva,Manchester City,베르나르두 실바,베르나르두,curated
414385,C. Echeverri,Manchester City,카를로스 에체베리,에체베리,previous_csv
380681,D. Mukasa,Manchester City,다비드 무카사,무카사,previous_csv
1100,E. Haaland,Manchester City,엘링 홀란,홀란,curated
617,Ederson,Manchester City,에데르송,에데르송,previous_csv
1622,G. Donnarumma,Manchester City,잔루이지 돈나룸마,돈나룸마,curated
633,I. Gundogan,Manchester City,일카이 귄도간,귄도간,previous_csv
1422,J. Doku,Manchester City,제레미 드쿠,드쿠,previous_csv
19187,J. Grealish,Manchester City,잭 그릴리쉬,그릴리쉬,previous_csv
129033,J. Gvardiol,Manchester City,J. 그바르디올,그바르디올,previous_csv
162489,J. Trafford,Manchester City,제임스 트래포드,트래포드,previous_csv
278128,J. Wilson-Esbrand,Manchester City,조슈아 윌슨 에스브란드,윌슨 에스브란드,previous_csv
19130,K. Phillips,Manchester City,칼빈 필립스,필립스,previous_csv
5,M. Akanji,Manchester City,마누엘 아칸지,아칸지,curated
19012,M. Bettinelli,Manchester City,마커스 베티넬리,베티넬리,previous_csv
41621,Matheus Nunes,Manchester City,마테우스 누네스,누네스,curated
293168,Max Alleyne,Manchester City,막스 알레인,알레인,previous_csv
307123,N. O'Reilly,Manchester City,니코 오라일리,오라일리,previous_csv
161933,Nico Gonzalez,Manchester City,니코 곤살레스,곤살레스,previous_csv
81573,Omar Marmoush,Manchester City,오마르 마르무쉬,마르무쉬,previous_csv
278133,Oscar Bobb,Manchester City,오스카 보브,보브,previous_csv
21138,R. Ait-Nouri,Manchester City,라얀 아이트누리,아이트누리,previous_csv
156477,R. Cherki,Manchester City,라얀 셰르키,셰르키,previous_csv
44,Rodri,Manchester City,로드리,로드리,previous_csv
567,Ruben Dias,Manchester City,루벤 디아스,디아스,previous_csv
323591,S. Nypan,Manchester City,슈제츠니,슈제츠니,previous_csv
266657,Savio,Manchester City,사비뉴,사비뉴,previous_csv
36902,T. Reijnders,Manchester City,티자니 라인더르스,라인더르스,previous_csv
414359,Vitor Nunes,Manchester City,비토르 레이스,레이스,previous_csv
50132,A. Bayındır,Manchester United,알타이 바이은드르,바이은드르,curated
157997,A. Diallo,Manchester United,아부바카르 디알로,디알로,previous_csv
402329,A. Heaven,Manchester United,에이든 헤븐,헤븐,curated
20589,B. Mbeumo,Manchester United,음뵈모,음뵈모,previous_csv
115589,B. Sesko,Manchester United,벤야민 세슈코,세슈코,curated
1485,Bruno Fernandes,Manchester United,브루노 페르난데스,브루노,curated
747,Casemiro,Manchester United,카세미루,카세미루,previous_csv
886,Diogo Dalot,Manchester United,디오구 달로트,달로트,curated
362270,E. Wheatley,Manchester United,에단 위틀리,위틀리,previous_csv
403064,H. Amass,Manchester United,에이마스,에이마스,previous_csv
2935,H. Maguire,Manchester United,해리 맥과이어,맥과이어,previous_csv
891,L. Shaw,Manchester United,루크 쇼,쇼,curated
19220,M. Mount,Manchester United,메이슨 마운트,마운트,curated
1165,Matheus Cunha,Manchester United,마테우스 쿠냐,쿠냐,previous_csv
545,N. Mazraoui,Manchester United,N. 마즈라위,마즈라위,previous_csv
389309,O. Martin,Manchester United,C. 오비,오비,previous_csv
162511,S. Lammens,Manchester United,센느 라멘스,라멘스,curated
557460,T. Fletcher,Manchester United,토미 플레처,플레처,previous_csv
328101,T. Fredricson,Manchester United,타일러 프레드릭슨,프레드릭슨,curated
284400,Tobias Christopher Collyer,Manchester United,토비 콜리어,콜리어,curated
153430,A. Elanga,Newcastle,안토니 엘랑가,엘랑가,previous_csv
10135,Bruno Guimaraes,Newcastle,브루노 기마란예스,기마란예스,previous_csv
18961,D. Burn,Newcastle,댄 번,번,previous_csv
18778,H. Barnes,Newcastle,하비어 바른스,바른스,previous_csv
19163,J. Murphy,Newcastle,제이콥 머피,머피,previous_csv
1463,J. Willock,Newcastle,조 윌록,윌록,previous_csv
169,K. Trippier,Newcastle,키어런 트리피어,트리피어,curated
284492,L. Hall,Newcastle,루이스 홀,홀,curated
328105,L. Miley,Newcastle,루이스 마일리,마일리,previous_csv
18941,M. Targett,Newcastle,맷 타겟,타겟,curated
163189,M. Thiaw,Newcastle,말릭 티아우,티아우,curated
18911,N. Pope,Newcastle,닉 포프,포프,previous_csv
158054,N. Woltemade,Newcastle,니콜라이 볼테마데,볼테마데,previous_csv
31146,S. Tonali,Newcastle,산드로 토날리,토날리,previous_csv
315237,W. Osula,Newcastle,윌리엄 오수라,오수라,previous_csv
20649,Y. Wissa,Newcastle,와하비사 유사,유사,previous_csv
18933,A. Gunn,Nottingham Forest,알렉스 건,건,previous_csv
147831,A. Kalimuendo,Nottingham Forest,아드리안 칼리무엔도,칼리무엔도,previous_csv
18931,C. Wood,Nottingham Forest,C. 우드,우드,previous_csv
129695,D. Bakwa,Nottingham Forest,딜라네 박와,박와,previous_csv
48648,D. Ndoye,Nottingham Forest,디오 운도예,운도예,previous_csv
138908,E. Anderson,Nottingham Forest,엘리엇 앤더슨,앤더슨,curated
380492,Eric Emanuel da Silva Moreira,Nottingham Forest,에다 실바 모레이라,실바 모레이라,previous_csv
22149,I. Sangare,Nottingham Forest,이브라힘 상가레,상가레,curated
9366,Igor Jesus,Nottingham Forest,이고르 제주스,제주스,previous_csv
158697,J. McAtee,Nottingham Forest,제이크 맥아티,맥아티,previous_csv
362711,Jair,Nottingham Forest,자이르,자이르,previous_csv
70366,John,Nottingham Forest,존 빅터,빅터,previous_csv
199089,L. Lucca,Nottingham Forest,루카,루카,previous_csv
163069,L. Netz,Nottingham Forest,루카스 네츠,네츠,previous_csv
18746,M. Gibbs-White,Nottingham Forest,모건 깁스화이트,깁스화이트,curated
2919,M. Sels,Nottingham Forest,마츠 셀스,셀스,curated
67943,Morato,Nottingham Forest,모라토,모라토,previous_csv
363695,Murillo,Nottingham Forest,무릴료,릴료,previous_csv
6056,N. Dominguez,Nottingham Forest,니콜라스 도밍게스,도밍게스,curated
2817,N. Milenkovic,Nottingham Forest,니콜라 밀렌코비치,밀렌코비치,curated
181806,N. Savona,Nottingham Forest,니콜로 사보나,사보나,previous_csv
138780,N. Williams,Nottingham Forest,네코 윌리엄스,윌리엄스,curated
2771,O. Aina,Nottingham Forest,올라 아이나,아이나,curated
284428,O. Hutchinson,Nottingham Forest,오디온 허친슨,허친슨,previous_csv
641,O. Zinchenko,Nottingham Forest,오렉사드르 진첸코,진첸코,previous_csv
25004,S. Ortega,Nottingham Forest,스테판 오르테가,오르테가,previous_csv
329357,Z. Abbott,Nottingham Forest,자크 애보트,애보트,previous_csv
18816,A. Masuaku,Sunderland,아샤훔 마수아쿠,마수아쿠,previous_csv
38750,B. Brobbey,Sunderland,브라이언 브로베이,브로베이,previous_csv
671,B. Traore,Sunderland,베른트란 트라오레,트라오레,previous_csv
339201,C. Rigg,Sunderland,크리스 리그,리그,previous_csv
336659,C. Talbi,Sunderland,헴스디네 탈비,탈비,previous_csv
55904,D. Ballard,Sunderland,다니엘 발라드,발라드,previous_csv
162076,D. Cirkin,Sunderland,덴니스 서킨,서킨,previous_csv
20638,E. Le Fee,Sunderland,엔조 르 페,르 페,curated
1464,G. Xhaka,Sunderland,그라니트 자카,자카,curated
327631,H. Diarra,Sunderland,하비브 디아라,디아라,previous_csv
290545,J. Seelt,Sunderland,젠슨 실트,실트,curated
554280,J. T. Bi,Sunderland,제이든 티 비,티 비,curated
37143,L. Geertruida,Sunderland,루트샤렐 헤이르트라위다,헤이르트라위다,curated
297187,L. Hjelde,Sunderland,레오 옐데,옐데,curated
19911,L. O'Nien,Sunderland,루크 오니언,오니언,previous_csv
392270,Marc Guiu,Sunderland,마르크 기우,기우,curated
311543,N. Angulo,Sunderland,노에르 앙구로,앙구로,previous_csv
169282,N. Huggins,Sunderland,나이얼 허긴스,허긴스,previous_csv
1146,N. Mukiele,Sunderland,노르디 무키엘,무키엘,previous_csv
365331,N. Sadiki,Sunderland,노아 사디키,사디키,curated
6168,O. Alderete,Sunderland,오마르 알데레테,알데레테,curated
194536,R. Roefs,Sunderland,로빈 뢰프스,뢰프스,curated
22225,Reinildo,Sunderland,레이닐도 만다바,만다바,previous_csv
301771,S. Adingra,Sunderland,시몬 아딩그라,아딩그라,previous_csv
119121,T. Hume,Sunderland,트라이 흄,흄,curated
84087,W. Isidor,Sunderland,더브라이트 이시도르,이시도르,previous_csv
328089,A. Gray,Tottenham,아치 그레이,그레이,curated
265826,A. Kinsky,Tottenham,안토닌 킨스키,킨스키,previous_csv
67972,C. Gallagher,Tottenham,코너 갤러거,갤러거,previous_csv
380689,C. Olusesi,Tottenham,콜린 오루세시,오루세시,previous_csv
162552,D. Scarlett,Tottenham,D. 스칼렛,스칼렛,previous_csv
18883,D. Solanke,Tottenham,D. 솔랭케,솔랭케,previous_csv
204039,D. Udogie,Tottenham,D. 우도기,우도기,previous_csv
31354,G. Vicario,Tottenham,굴리엘모 비카리오,비카리오,curated
41104,Joao Palhinha,Tottenham,주앙 팔리냐,팔리냐,previous_csv
25287,K. Danso,Tottenham,K. 단소,단소,previous_csv
337593,K. Takai,Tottenham,코타 타카이,타카이,previous_csv
15911,M. Kudus,Tottenham,모하메드 쿠두스,쿠두스,previous_csv
380690,M. Moore,Tottenham,마이키 무어,무어,curated
697,M. Solomon,Tottenham,마노르 솔로몬,솔로몬,previous_csv
270510,M. Tel,Tottenham,마티스 텔,텔,curated
152849,M. van de Ven,Tottenham,미키 판더펜,판더펜,curated
237129,P. Sarr,Tottenham,P. 사르,사르,previous_csv
47519,Pedro Porro,Tottenham,페드로 포로,포로,curated
863,R. Bentancur,Tottenham,로드리고 벤탄쿠르,벤탄쿠르,previous_csv
