"id","player_id","team_id","eng_name","kor_name","kor_short_name","created_at"
38,257,85,Marquinhos,마르키뉴스,르키뉴스,2025-06-15 18:00:20.532
40,226,505,D. Dumfries,D. 덤프리스,덤프리스,2025-06-15 18:00:20.547
41,31009,505,A. Bastoni,A. 바스토니,바스토니,2025-06-15 18:00:20.547
43,31010,505,F. Dimarco,에프 디마르코,디마르코,2025-06-15 18:00:20.554
45,1640,505,H. Çalhanoğlu,H. 챌라노룰,챌라노룰,2025-06-15 18:00:20.556
46,21509,505,M. Thuram,엠 투람,투람,2025-06-15 18:00:20.569
48,335051,85,João Neves,조아우 네베스,네베스,2025-06-15 18:00:20.582
50,128384,85,Vitinha,비티냐,티냐,2025-06-15 18:00:20.582
49,9,85,A. Hakimi,아히미,히미,2025-06-15 18:00:20.582
51,343027,85,D. Doué,디. 두에,두에,2025-06-15 18:00:20.583
53,409216,85,S. Mayulu,에스 마율루,마율루,2025-06-15 18:00:21.147
55,341646,505,V. Carboni,비. 카르보니,카르보니,2025-06-15 18:00:21.995
56,1854,505,J. Correa,J. 코레아,코레아,2025-06-15 18:00:22.005
59,289,40,A. Robertson,에이 로버트슨,로버트슨,2025-06-15 18:00:47.096
62,293,40,C. Jones,C. 존스,존스,2025-06-15 18:00:47.133
63,306,40,Mohamed Salah,모하메드 살라,살라,2025-06-15 18:00:47.133
68,126949,52,C. Richards,시아론 리처즈,리처즈,2025-06-15 18:00:47.185
69,19088,52,D. Henderson,D. 헨더슨,헨더슨,2025-06-15 18:00:47.186
71,2490,52,J. Lerma,J. 레르마,레르마,2025-06-15 18:00:47.201
72,13736,52,D. Muñoz,D. 무뇨스,무뇨스,2025-06-15 18:00:47.201
74,2218,52,I. Sarr,이브라힘 사르,사르,2025-06-15 18:00:47.234
76,182201,52,T. Mitchell,티 미첼,미첼,2025-06-15 18:00:47.234
77,19586,52,E. Eze,이제,제,2025-06-15 18:00:47.249
78,25927,52,J. Mateta,제이 매테타,매테타,2025-06-15 18:00:47.249
80,2933,52,B. Chilwell,B. 칠웰,칠웰,2025-06-15 18:00:49.266
81,278898,52,C. Riad,씨 리아드,리아드,2025-06-15 18:00:49.267
83,67971,52,M. Guehi,엠. 게이히,게이히,2025-06-15 18:00:49.290
84,18862,52,N. Clyne,엔 클라인,클라인,2025-06-15 18:00:49.290
86,1438,36,B. Leno,비. 레노,레노,2025-06-15 18:00:57.674
87,19549,36,A. Robinson,에이 로빈슨,로빈슨,2025-06-15 18:00:57.678
89,2729,36,J. Andersen,J. 안데르센,안데르센,2025-06-15 18:00:57.691
90,19025,36,T. Cairney,티 케어니,케어니,2025-06-15 18:00:57.694
92,19221,36,H. Wilson,H. 윌슨,윌슨,2025-06-15 18:00:57.720
93,18753,36,Adama Traoré,아다마 트라오레,트라오레,2025-06-15 18:00:57.720
96,2887,36,R. Jiménez,알레하드로 히메네스,히메네스,2025-06-15 18:00:57.746
98,567,50,Rúben Dias,루벤 디아스,디아스,2025-06-15 18:00:57.756
99,5,50,M. Akanji,엠. 아칸지,아칸지,2025-06-15 18:00:57.765
103,161933,50,Nico González,니코 곤살레스,곤살레스,2025-06-15 18:00:57.786
104,636,50,Bernardo Silva,베르나르도 실바,실바,2025-06-15 18:00:57.786
105,1422,50,J. Doku,제레미 드쿠,드쿠,2025-06-15 18:00:57.799
107,50132,33,A. Bayındır,에이 바인디르,바인디르,2025-06-15 18:01:06.894
109,402329,33,A. Heaven,에이 헤븐,헤븐,2025-06-15 18:01:06.953
112,1485,33,Bruno Fernandes,브루노 페르난데스,페르난데스,2025-06-15 18:01:06.994
119,19298,66,M. Cash,엠 캐시,캐시,2025-06-15 18:01:07.215
125,19170,66,M. Rogers,엠 로저스,로저스,2025-06-15 18:01:07.464
129,2273,35,Kepa,케파,파,2025-06-15 18:01:15.756
136,792,35,J. Kluivert,제이 클라이버트,클라이버트,2025-06-15 18:01:15.798
142,8694,46,W. Faes,W. 파에스,파에스,2025-06-15 18:01:15.837
217,925,39,Gonçalo Guedes,곤살로 게데스,게데스,2025-06-15 18:38:37.086
220,342022,55,M. Kayode,엠 카요데,카요데,2025-06-15 18:38:37.174
221,82855,39,T. King,티 킹,킹,2025-06-15 18:38:37.724
224,385726,39,E. Gonzalez,에드가르 곤잘레스,곤잘레스,2025-06-15 18:38:37.951
236,270139,45,J. O'Brien,제이 오브라이언,오브라이언,2025-06-15 09:50:21.014
240,17661,45,J. Branthwaite,J. 브란스웨이트,브란스웨이트,2025-06-15 09:50:22.559
245,522,157,Thomas Müller,토마스 뮐러,뮐러,2025-06-15 16:46:44.941
252,125171,157,Josip Stanišić,요시프 스타니시치,스타니시치,2025-06-15 16:46:44.958
258,38888,2537,Mario Ilich,마리오 일리치,일리치,2025-06-15 16:46:45.383
263,102949,2537,Myer Bevan,마이어 베반,베반,2025-06-15 16:46:45.386
267,181812,157,J. Musiala,J. 무시알라,무시알라,2025-06-15 17:23:19.520
268,13061,2537,Zhou Tong,저우통,저우통,2025-06-15 17:27:49.311
275,2472,530,Rodrigo de Paul,로드리고 데 파울,데 파울,2025-06-15 18:11:58.945
281,8492,530,A. Sorloth,A. 소를로스,소를로스,2025-06-15 20:45:02.289
287,425733,121,Estêvão,에스테바우,에스테바우,2025-06-15 22:12:07.926
298,358628,212,Samuel Aghehowa,사무엘 아게호와,아게호와,2025-06-15 22:12:08.308
300,9920,121,Raphael Veiga,라파엘 베이가,베이가,2025-06-15 23:26:30.370
307,9366,120,Igor Jesus,이고르 제주스,제주스,2025-06-16 04:11:23.846
314,8661,120,Vitinho,비티뉴,비티뉴,2025-06-16 04:11:23.859
316,51103,1595,Kee-hee Kim,김기희,김기희,2025-06-16 04:11:24.323
323,51099,1595,Stefan Frei,스테판 프라이,프라이,2025-06-16 04:11:24.332
328,51581,120,S. Rodriguez,에스 로드리게스,로드리게스,2025-06-16 04:11:25.268
333,353034,120,Cuiabano,쿠이아바노,쿠이아바노,2025-06-16 04:11:25.274
340,51031,1616,Eddie Segura,에디 세구라,세구라,2025-06-16 18:36:32.922
346,159,1616,Hugo Lloris,유고 리오리스,리오리스,2025-06-16 18:36:32.986
353,47151,1616,Y. Yeboah,와헌 예보아,예보아,2025-06-16 21:22:38.291
359,2464,451,Agustín Marchesín,아구스틴 마르체신,마르체신,2025-06-16 21:23:19.597
370,36798,211,Vangelis Pavlidis,반겔리스 파블리디스,파블리디스,2025-06-16 21:23:20.098
371,6209,451,T. Belmonte,티 벨몬테,벨몬테,2025-06-16 22:21:07.935
379,280245,124,Matheus Martinelli,마테우스 마르티넬리,마르티넬리,2025-06-17 16:21:03.471
385,10163,124,Renê,레네,레네,2025-06-17 16:21:03.616
388,51603,124,Agustín Canobbio,아구스틴 카노비오,카노비오,2025-06-17 16:21:03.621
392,25282,165,Gregor Kobel,그레고르 코벨,코벨,2025-06-17 16:21:04.117
396,506,165,Niklas Süle,니클라스 즐러,즐러,2025-06-17 16:21:04.188
399,1493,435,Marcos Acuña,마르코스 아쿠냐,아쿠냐,2025-06-18 03:50:30.446
400,6000,435,Lucas Martínez Quarta,루카스 마르티네스 콰르타,마르티네스 콰르타,2025-06-18 03:50:30.447
406,289592,435,Kevin Castaño,케빈 카스타뇨,카스타뇨,2025-06-18 03:50:30.565
415,33914,287,Yoichi Naganuma,요이치 나가누마,나가누마,2025-06-18 03:50:30.697
416,32985,287,Takuro Kaneko,다쿠로 카네코,카네코,2025-06-18 03:50:30.746
426,237920,124,Paulo Baya,파울로 바야,바야,2025-06-18 03:56:03.399
435,41218,287,Thiago,티아고,티아고,2025-06-17 20:45:04.124
443,40914,2767,Miłosz Trojak,밀로시 트로야크,트로야크,2025-06-17 22:21:46.034
457,46331,2699,Grant Kekana,그랜트 케카나,케카나,2025-06-17 22:21:46.488
460,93009,2699,T. Matthews,티 매튜스,매튜스,2025-06-18 00:31:38.467
461,126665,2767,M. Lacava,엠 라카바,라카바,2025-06-18 00:32:08.375
470,1911,2282,Lucas Ocampos,루카스 오캄포스,오캄포스,2025-06-18 05:36:36.733
476,6485,2282,Germán Berterame,헤르만 베르테라메,베르테라메,2025-06-18 05:36:36.743
480,215,505,Sebastiano Esposito,세바스티아노 에스포지토,에스포지토,2025-06-18 05:36:37.742
481,300885,2282,N. Deossa,엔 데오사,데오사,2025-06-18 05:36:38.081
482,35974,2282,J. Cortizo,제이 코르티조,코르티조,2025-06-18 05:36:38.152
494,266657,50,Savinho,사비뉴,사비뉴,2025-06-18 15:48:18.644
499,144879,968,El Mehdi Benabid,엘 메디 베나비드,메디 베나비드,2025-06-18 15:48:19.195
504,153601,968,Abdelmounaim Boutouil,압델무나임 부투일,부투일,2025-06-18 15:48:19.335
510,44,50,Rodri,로드리,로드리,2025-06-18 17:29:45.458
516,129718,541,Jude Bellingham,주드 벨링햄,벨링햄,2025-06-18 19:06:14.291
522,736,541,Fran García,프란 가르시아,가르시아,2025-06-18 19:06:14.416
526,10122,2932,Renan Lodi,레난 로디,로디,2025-06-18 19:06:14.916
531,44362,2932,Hassan Al Tambakti,하산 알 탐박티,알 탐박티,2025-06-18 19:06:14.986
545,175,157,E. Dier,에릭 다이어,다이어,2025-06-18 19:26:36.110
555,16805,2865,Rami Rabia,라미 라비아,라비아,2025-06-19 03:15:53.719
565,44069,2865,Y. Nader,와디 나더,나더,2025-06-19 03:15:55.115
570,51620,121,Facundo Torres,파쿤도 토레스,토레스,2025-06-19 16:51:16.926
571,135836,1577,Yahia Attiyat Allah,야히아 앗티야트 알라,앗티야트 알라,2025-06-19 16:51:17.692
583,2560,127,Erick Pulgar,에릭 풀가르,풀가르,2025-06-20 19:32:59.204
589,30408,127,Gerson,게르손,게르손,2025-06-20 19:32:59.264
601,49437,980,Mohamed Ben Ali,모하메드 벤 알리,벤 알리,2025-06-20 20:45:17.800
608,10570,980,Yan Sasse,얀 사세,사세,2025-06-20 20:45:17.875
613,403877,980,Abdramane Konate,아브라만 코나테,코나테,2025-06-20 20:45:18.203
617,392270,49,M. Guiu,엠. 구이우,구이우,2025-06-20 20:45:37.881
624,94416,2537,J. Manuel,J. 마누엘,마누엘,2025-06-20 20:45:48.179
630,383826,1350,J. Dornelly,제이 도넬리,도넬리,2025-06-20 21:03:10.406
637,158644,165,M. Beier,엠 바이어,바이어,2025-06-21 17:43:46.525
645,316519,124,Facundo Bernal,파쿤도 베르날,베르날,2025-06-22 07:34:07.382
647,389,2282,Jesús Corona,헤수스 코로나,코로나,2025-06-22 07:36:20.149
657,19179,66,T. Mings,티. 밍스,밍스,2025-06-22 12:13:36.047
659,138931,66,J. Philogene,제이 필로진,필로진,2025-06-22 12:13:37.771
660,13489,66,J. Durán,J. 두란,두란,2025-06-22 12:13:37.772
113,747,33,Casemiro,카세미루,카세미루,2025-06-15 18:01:07.033
115,157997,33,A. Diallo,아부바카르 디알로,디알로,2025-06-15 18:01:07.138
121,19354,66,E. Konsa,이사이아 콘사,콘사,2025-06-15 18:01:07.420
126,19191,66,J. McGinn,제이 맥긴,맥긴,2025-06-15 18:01:07.593
131,18869,35,A. Smith,에이 스미스,스미스,2025-06-15 18:01:15.760
135,19245,35,M. Tavernier,엠 타버니에,타버니에,2025-06-15 18:01:15.798
141,18741,46,C. Coady,C. 코디,코디,2025-06-15 18:01:15.837
147,283290,46,K. McAteer,케빈 맥아티어,맥아티어,2025-06-15 18:01:15.867
151,296458,35,D. Jebbison,D. 제비슨,제비슨,2025-06-15 18:01:16.953
157,303467,46,I. Fatawu,이. 파타우,파타우,2025-06-15 18:01:17.400
218,130,39,Nélson Semedo,넬손 세메도,세메도,2025-06-15 18:38:37.094
223,2032,39,J. Strand Larsen,스트란드 라르센,라르센,2025-06-15 18:38:37.727
237,19128,45,J. Harrison,제이 해리슨,해리슨,2025-06-15 09:50:21.015
238,169,34,K. Trippier,케이 트리피어,트리피어,2025-06-15 09:50:22.134
241,18941,34,M. Targett,엠 타겟,타겟,2025-06-15 09:50:22.561
246,19617,157,Michael Olise,마이클 올리세,올리세,2025-06-15 16:46:44.942
253,8,157,Raphaël Guerreiro,라파엘 게레이루,게레이루,2025-06-15 16:46:44.988
254,38855,2537,Conor Tracey,코너 트레이시,트레이시,2025-06-15 16:46:45.374
261,198532,2537,Nathan Lobo,네이단 로보,로보,2025-06-15 16:46:45.385
270,38894,2537,A. Kilkolly,에이 킬콜리,킬콜리,2025-06-15 17:33:26.957
276,47566,530,Javi Galán,하비 갈란,갈란,2025-06-15 18:11:58.951
282,106485,121,Maurício,마우리시오,마우리시오,2025-06-15 22:12:07.913
288,51466,121,Joaquín Piquerez,호아킴 피케레스,피케레스,2025-06-15 22:12:07.927
291,195104,121,Richard Ríos,리처드 리오스,리오스,2025-06-15 22:12:07.988
293,336596,212,Martim Fernandes,마르팀 페르난데스,페르난데스,2025-06-15 22:12:08.299
294,404097,212,Rodrigo Mora,로드리고 모라,모라,2025-06-15 22:12:08.304
301,295513,121,Flaco Lopez,플라코 로페즈,로페즈,2025-06-15 23:38:00.225
308,362711,120,Jair,자이르,자이르,2025-06-16 04:11:23.850
315,9218,120,Marlon Freitas,마를론 프라이타스,프라이타스,2025-06-16 04:11:23.859
318,103292,1595,Jackson Ragen,잭슨 레이겐,레이겐,2025-06-16 04:11:24.326
324,51212,1595,Albert Rusnák,알버트 루스낙,루스낙,2025-06-16 04:11:24.332
331,1854,120,J. Correa,J. 코레아,코레아,2025-06-16 04:11:25.274
332,265762,1595,R. Baker-Whiting,알 베이커-화이팅,베이커-화이팅,2025-06-16 04:11:25.274
341,21437,1616,Denis Bouanga,드니 부앙가,부앙가,2025-06-16 18:36:32.974
348,356814,1616,D. Martinez,디 마르티네스,마르티네스,2025-06-16 19:41:16.905
354,2295,1616,O. Giroud,올리비에 지루,지루,2025-06-16 21:22:38.357
362,11463,451,Carlos Palacios,카를로스 파라시오스,파라시오스,2025-06-16 21:23:19.665
372,30509,211,A. Belotti,A. 벨로티,벨로티,2025-06-16 23:12:48.033
380,10222,124,Everaldo,에베랄도,에베랄도,2025-06-17 16:21:03.469
386,266267,124,Hércules,헤르쿨레스,헤르쿨레스,2025-06-17 16:21:03.618
390,18970,165,Pascal Groß,파스칼 그로스,그로스,2025-06-17 16:21:04.114
397,198654,165,Daniel Svensson,다니엘 스벤손,스벤손,2025-06-17 16:21:04.190
401,2468,435,Gonzalo Montiel,곤잘로 몬티엘,몬티엘,2025-06-18 03:50:30.460
405,214,435,Facundo Colidio,파쿤도 콜리디오,콜리디오,2025-06-18 03:50:30.564
414,30931,287,Samuel Gustafson,사무엘 구스타프손,구스타프손,2025-06-18 03:50:30.695
420,119662,287,Yusuke Matsuo,유스케 마츠오,마츠오,2025-06-18 03:50:30.760
421,13523,124,G. Cano,지 카노,카노,2025-06-18 03:56:03.382
428,286894,165,J. Gittens,J. 기텐스,기텐스,2025-06-18 03:56:03.449
429,6379,435,Giuliano Galoppo,주리아노 갈로포,갈로포,2025-06-17 20:07:27.018
431,9933,435,Miguel Borja,미겔 보르하,보르하,2025-06-17 20:12:36.896
436,33101,287,T. Ogiwara,T. 오기와라,오기와라,2025-06-17 20:45:04.167
437,25379,287,G. Haraguchi,G. 하라구치,하라구치,2025-06-17 20:49:14.900
438,5988,435,M. Casco,엠 카스코,카스코,2025-06-17 20:50:44.898
444,2903,2767,Woo-Young Jung,정우영,정우영,2025-06-17 22:21:46.034
450,305835,2699,Arthur Sales,아서 살레스,살레스,2025-06-17 22:21:46.484
462,2907,2767,Lee Jin-Hyun,이진현,이진현,2025-06-18 00:39:38.376
463,34149,2767,H. Lee,이흥규,이흥규,2025-06-18 00:40:08.375
471,36471,2282,Ricardo Chávez,리카르도 차베스,차베스,2025-06-18 05:36:36.735
477,1570,2282,Sergio Canales,세르히오 카날레스,카날레스,2025-06-18 05:36:36.743
495,307123,50,Nico O'Reilly,니코 오라일리,오라일리,2025-06-18 15:48:18.715
498,41440,968,Fahd Moufi,파드 무피,무피,2025-06-18 15:48:19.193
505,382989,968,Cassius Mailula,카시우스 마일룰라,마일룰라,2025-06-18 15:48:19.336
506,2719,968,Nordin Amrabat,노르딘 암라바트,암라바트,2025-06-18 15:48:19.338
511,46714,968,M. Malsa,엠 말사,말사,2025-06-18 17:29:45.461
517,341640,541,Raúl Asencio,라울 아센시오,아센시오,2025-06-18 19:06:14.359
523,730,541,Thibaut Courtois,티보 쿠르투아,쿠르투아,2025-06-18 19:06:14.416
527,2676,2932,Rúben Neves,루벤 네베스,네베스,2025-06-18 19:06:14.982
530,855,2932,João Cancelo,죠아우 캔셀루,캔셀루,2025-06-18 19:06:14.985
546,47516,168,Aleix García,알렉스 가르시아,가르시아,2025-06-18 19:26:36.178
556,6622,2865,Matías Palacios,마티아스 파라시오스,파라시오스,2025-06-19 03:15:53.721
567,0,2865,J. Udoh,제이 우도,우도,2025-06-19 03:15:55.117
572,307835,85,Lucas Beraldo,루카스 베랄도,베랄도,2025-06-20 05:40:44.034
573,326,120,Allan,알란,알란,2025-06-20 05:40:44.530
575,455130,120,A. Montoro,에이 몬토로,몬토로,2025-06-20 05:40:45.500
577,31,530,José María Giménez,호세 마리아 히메네스,마리아 히메네스,2025-06-20 05:40:54.596
579,362441,1595,Georgi Minoungou,조르지 미눈구,미눈구,2025-06-20 05:40:55.570
584,2289,127,Jorginho,조르지뉴,조르지뉴,2025-06-20 19:32:59.205
590,11756,127,Agustín Rossi,아구스틴 로시,로시,2025-06-20 19:32:59.274
603,1597,980,Yassine Meriah,야신 메리아,메리아,2025-06-20 20:45:17.803
614,330170,980,Elias Mokwana,엘리아스 목와나,목와나,2025-06-20 20:45:18.208
619,166984,2537,M. Ellis,엠 엘리스,엘리스,2025-06-20 20:45:48.109
625,405360,45,H. Armstrong,에이치 암스트롱,암스트롱,2025-06-20 21:03:09.659
628,385481,1350,D. O'Brien-Brady,디. 오브라이언-브레이디,오브라이언-브레이디,2025-06-20 21:03:10.338
632,301322,569,K. Sabbe,케이 샤베,샤베,2025-06-20 21:04:36.775
114,19599,66,E. Martínez,이. 마르티네스,마르티네스,2025-06-15 18:01:07.138
120,138816,66,I. Maatsen,이. 마찬,마찬,2025-06-15 18:01:07.420
133,1150,35,T. Adams,티 에덤스,에덤스,2025-06-15 18:01:15.771
138,19281,35,A. Semenyo,에이 셈뇨,셈뇨,2025-06-15 18:01:15.806
144,152969,46,L. Thomas,엘 토마스,토마스,2025-06-15 18:01:15.845
150,1098,46,P. Daka,페트로스 다카,다카,2025-06-15 18:01:15.870
152,460853,46,J. Monga,제이 몽가,몽가,2025-06-15 18:01:16.956
156,19004,46,B. De Cordova-Reid,비. 데 코르도바-리드,데 코르도바-리드,2025-06-15 18:01:17.382
219,3080,39,M. Munetsi,엠 무네치,무네치,2025-06-15 18:38:37.094
222,196156,55,Thiago,티아고,아고,2025-06-15 18:38:37.726
225,195717,39,Y. Mosquera,와싱턴 모스케라,모스케라,2025-06-15 18:38:37.951
239,284492,34,L. Hall,엘 홀,홀,2025-06-15 09:50:22.553
255,93073,2537,Michael Den Heijer,마이클 덴 하이어,덴 하이어,2025-06-15 16:46:45.377
260,94388,2537,Regont Murati,레곤트 무라티,무라티,2025-06-15 16:46:45.384
247,972,157,Jonathan Tah,요나단 타,타,2025-06-15 16:46:44.945
271,33978,2537,R. de Vries,알 드 브리스,드 브리스,2025-06-15 17:33:26.961
277,133,530,Clément Lenglet,클레멘 랑글레,랑글레,2025-06-15 18:11:58.953
283,340279,121,Vitor Roque,비토르 로크,로크,2025-06-15 22:12:07.921
289,2502,121,Gustavo Gómez,구스타보 고메스,고메스,2025-06-15 22:12:07.928
295,41964,212,Zé Pedro,제 페드로,페드로,2025-06-15 22:12:08.305
299,987,121,Paulinho,파울리뉴,파울리뉴,2025-06-15 23:26:30.365
302,35570,212,S. Eustaquio,S. 유스타키오,유스타키오,2025-06-15 23:38:30.227
309,51214,120,Jefferson Savarino,제퍼슨 사바리노,사바리노,2025-06-16 04:11:23.852
317,51107,1595,Nouhou Tolo,누우후 톨로,톨로,2025-06-16 04:11:24.324
326,51114,1595,Cristian Roldán,크리스티안 롤단,롤단,2025-06-16 04:11:24.398
335,194847,1595,J. Bell,제이 벨,벨,2025-06-16 04:11:25.276
342,366531,1616,Nathan Ordaz,네이단 오르다즈,오르다즈,2025-06-16 18:36:32.976
349,161948,49,L. Delap,엘 델랩,델랩,2025-06-16 21:22:38.277
355,288750,451,Ayrton Costa,에어턴 코스타,코스타,2025-06-16 21:23:19.522
357,6082,451,Nicolás Figal,니콜라스 피갈,피갈,2025-06-16 21:23:19.597
361,288707,451,Kevin Zenón,케빈 세논,세논,2025-06-16 21:23:19.665
367,39043,211,Fredrik Aursnes,프레드릭 아우르스네스,아우르스네스,2025-06-16 21:23:20.095
373,59229,451,M. Gimenez,엠 히메네스,히메네스,2025-06-16 23:25:27.960
374,37155,211,O. Kokcu,오르칸 코크쥬,코크쥬,2025-06-16 23:27:57.948
381,13708,124,Jhon Arias,존 아리아스,아리아스,2025-06-17 16:21:03.545
387,259,124,Thiago Silva,티아고 실바,실바,2025-06-17 16:21:03.620
391,24845,165,Julian Ryerson,줄리안 라이어슨,라이어슨,2025-06-17 16:21:04.116
395,1159,165,Marcel Sabitzer,마르첼 자비처,자비처,2025-06-17 16:21:04.188
402,5997,435,Nacho Fernández,나초 페르난데스,페르난데스,2025-06-18 03:50:30.461
408,449249,435,Franco Mastantuono,프랑코 마스탄투오노,마스탄투오노,2025-06-18 03:50:30.629
411,33093,287,Shusaku Nishikawa,스사쿠 니시카와,니시카와,2025-06-18 03:50:30.682
417,33643,287,Ryoma Watanabe,료마 와타나베,와타나베,2025-06-18 03:50:30.748
422,70849,124,K. Serna,케빈 세르나,세르나,2025-06-18 03:56:03.382
427,197448,165,Y. Couto,와가너 쿠토,쿠토,2025-06-18 03:56:03.449
430,35550,435,M. Meza,엠 메사,메사,2025-06-17 20:07:27.020
439,47706,2767,Gustav Ludwigson,구스타브 루드비그손,루드비그손,2025-06-17 22:21:46.024
445,2905,2767,Chung-yong Lee,이청용,이청용,2025-06-17 22:21:46.035
452,46601,2699,Khuliso Mudau,쿨리소 무다우,무다우,2025-06-17 22:21:46.484
459,3287,2699,Teboho Mokoena,테보호 모코에나,모코에나,2025-06-17 22:21:46.489
464,0,2699,K. Lethlaku,케이 레슬라쿠,레슬라쿠,2025-06-18 00:43:18.383
467,34547,2767,Kang Sang-Woo,강상우,강상우,2025-06-18 00:46:18.375
472,35774,2282,Gerardo Arteaga,헤라르도 아르테아가,아르테아가,2025-06-18 05:36:36.740
478,2462,2282,Esteban Andrada,에스테반 안드라다,안드라다,2025-06-18 05:36:36.745
487,348205,505,P. Sucic,피터 수치치,수치치,2025-06-18 05:36:38.226
496,414359,50,Vitor Reis,비토르 레이스,레이스,2025-06-18 15:48:18.717
500,37578,968,Bart Meijers,바르트 마이어스,마이어스,2025-06-18 15:48:19.197
507,294299,968,Oussama Zemraoui,우삼마 젬라우이,젬라우이,2025-06-18 15:48:19.340
512,119883,968,S. Obeng,에스 오벵,오벵,2025-06-18 17:29:45.464
518,336711,541,Gonzalo García,곤잘로 가르시아,가르시아,2025-06-18 19:06:14.361
525,2701,2932,Bono,보노,보노,2025-06-18 19:06:14.916
532,1856,2932,Sergej Milinković-Savić,세르게이 밀린코비치-사비치,밀린코비치-사비치,2025-06-18 19:06:14.989
534,267771,2932,Marcos Leonardo,마르코스 레오나르도,레오나르도,2025-06-18 19:06:15.061
550,2674,2865,Rui Patrício,루이 파트리시오,파트리시오,2025-06-19 03:15:53.581
552,323371,2865,Marcel Ratnik,마르셀 라트닉,라트닉,2025-06-19 03:15:53.656
557,36579,2865,Soufiane Rahimi,수피안 라히미,라히미,2025-06-19 03:15:53.729
563,116,496,Khéphren Thuram,케프렌 투람,투람,2025-06-19 03:15:54.160
569,47522,496,Douglas Luiz,더글라스 루이즈,루이즈,2025-06-19 03:15:55.122
574,277169,120,Newton,뉴턴,뉴턴,2025-06-20 05:40:45.488
